,date,ron95,ron97,diesel,ron95_skps,series_type,ron95_budi95,diesel_eastmsia
313,2020-02-01,2.08,2.41,2.18,,level,,2.18
314,2020-01-25,2.08,2.49,2.18,,level,,2.18
315,2020-01-18,2.08,2.53,2.18,,level,,2.18
316,2020-01-11,2.08,2.62,2.18,,level,,2.18
317,2020-01-04,2.08,2.65,2.18,,level,,2.18
318,2019-12-28,2.08,2.63,2.18,,level,,2.18
319,2019-12-21,2.08,2.58,2.18,,level,,2.18
320,2019-12-14,2.08,2.64,2.18,,level,,2.18
321,2019-12-07,2.08,2.64,2.18,,level,,2.18
322,2019-11-30,2.08,2.66,2.18,,level,,2.18
323,2019-11-23,2.08,2.66,2.18,,level,,2.18
324,2019-11-16,2.08,2.7,2.18,,level,,2.18
325,2019-11-09,2.08,2.57,2.18,,level,,2.18
326,2019-11-02,2.08,2.56,2.18,,level,,2.18
327,2019-10-26,2.08,2.59,2.18,,level,,2.18
328,2019-10-19,2.08,2.68,2.18,,level,,2.18
329,2019-10-12,2.08,2.67,2.18,,level,,2.18
330,2019-10-05,2.08,2.6,2.18,,level,,2.18
331,2019-09-28,2.08,2.79,2.18,,level,,2.18
332,2019-09-21,2.08,2.67,2.18,,level,,2.18
333,2019-09-14,2.08,2.53,2.18,,level,,2.18
334,2019-09-07,2.08,2.5,2.18,,level,,2.18
335,2019-08-31,2.08,2.5,2.18,,level,,2.18
336,2019-08-24,2.08,2.51,2.18,,level,,2.18
337,2019-08-17,2.08,2.49,2.18,,level,,2.18
338,2019-08-10,2.08,2.49,2.18,,level,,2.18
339,2019-08-03,2.08,2.54,2.18,,level,,2.18
340,2019-07-27,2.08,2.56,2.18,,level,,2.18
341,2019-07-20,2.08,2.67,2.18,,level,,2.18
342,2019-07-13,2.08,2.57,2.18,,level,,2.18
343,2019-07-06,2.08,2.53,2.18,,level,,2.18
344,2019-06-29,2.08,2.49,2.18,,level,,2.18
345,2019-06-22,2.08,2.38,2.18,,level,,2.18
346,2019-06-15,2.08,2.41,2.18,,level,,2.18
347,2019-06-01,2.08,2.63,2.18,,level,,2.18
348,2019-05-25,2.08,2.76,2.18,,level,,2.18
349,2019-05-18,2.08,2.68,2.18,,level,,2.18
350,2019-05-11,2.08,2.7,2.18,,level,,2.18
351,2019-05-04,2.08,2.8,2.18,,level,,2.18
352,2019-04-27,2.08,2.81,2.18,,level,,2.18
353,2019-04-20,2.08,2.8,2.18,,level,,2.18
354,2019-04-13,2.08,2.68,2.18,,level,,2.18
355,2019-04-06,2.08,2.63,2.18,,level,,2.18
356,2019-03-30,2.08,2.63,2.18,,level,,2.18
357,2019-03-23,2.08,2.61,2.18,,level,,2.18
358,2019-03-16,2.08,2.54,2.18,,level,,2.18
359,2019-03-09,2.08,2.46,2.18,,level,,2.18
360,2019-03-02,2.08,2.43,2.18,,level,,2.18
361,2019-02-23,2.08,2.38,2.18,,level,,2.18
362,2019-02-16,1.98,2.28,2.18,,level,,2.18
363,2019-02-09,1.97,2.27,2.18,,level,,2.18
364,2019-02-02,1.93,2.23,2.18,,level,,2.18
365,2019-01-26,1.98,2.28,2.18,,level,,2.18
366,2019-01-19,1.98,2.28,2.17,,level,,2.17
367,2019-01-12,1.92,2.22,2.05,,level,,2.05
368,2019-01-05,1.93,2.23,2.04,,level,,2.04
369,2019-01-01,2.2,2.5,2.18,,level,,2.18
370,2018-12-01,2.2,2.5,2.18,,level,,2.18
371,2018-11-01,2.2,2.81,2.18,,level,,2.18
372,2018-10-01,2.2,2.79,2.18,,level,,2.18
373,2018-08-30,2.2,2.69,2.18,,level,,2.18
374,2018-08-23,2.2,2.65,2.18,,level,,2.18
375,2018-08-16,2.2,2.65,2.18,,level,,2.18
376,2018-08-09,2.2,2.61,2.18,,level,,2.18
377,2018-08-02,2.2,2.64,2.18,,level,,2.18
378,2018-07-26,2.2,2.54,2.18,,level,,2.18
379,2018-07-19,2.2,2.56,2.18,,level,,2.18
380,2018-07-12,2.2,2.59,2.18,,level,,2.18
381,2018-07-05,2.2,2.58,2.18,,level,,2.18
382,2018-06-28,2.2,2.5,2.18,,level,,2.18
383,2018-06-21,2.2,2.59,2.18,,level,,2.18
384,2018-06-14,2.2,2.6,2.18,,level,,2.18
385,2018-06-07,2.2,2.66,2.18,,level,,2.18
386,2018-05-10,2.2,2.47,2.18,,level,,2.18
387,2018-05-03,2.2,2.47,2.18,,level,,2.18
388,2018-04-26,2.2,2.47,2.18,,level,,2.18
389,2018-04-19,2.2,2.47,2.18,,level,,2.18
390,2018-04-12,2.2,2.47,2.18,,level,,2.18
391,2018-04-05,2.2,2.47,2.18,,level,,2.18
392,2018-03-29,2.2,2.47,2.18,,level,,2.18
393,2018-03-22,2.2,2.47,2.18,,level,,2.18
394,2018-03-15,2.18,2.45,2.16,,level,,2.16
395,2018-03-08,2.21,2.47,2.17,,level,,2.17
396,2018-03-01,2.2,2.47,2.18,,level,,2.18
397,2018-02-22,2.17,2.43,2.13,,level,,2.13
398,2018-02-15,2.23,2.5,2.19,,level,,2.19
399,2018-02-08,2.33,2.61,2.31,,level,,2.31
400,2018-02-01,2.31,2.58,2.34,,level,,2.34
401,2018-01-25,2.29,2.56,2.31,,level,,2.31
402,2018-01-18,2.3,2.57,2.32,,level,,2.32
403,2018-01-11,2.26,2.53,2.32,,level,,2.32
404,2018-01-04,2.29,2.56,2.32,,level,,2.32
405,2017-12-28,2.26,2.53,2.26,,level,,2.26
406,2017-12-21,2.27,2.54,2.23,,level,,2.23
407,2017-12-14,2.25,2.52,2.2,,level,,2.2
408,2017-12-07,2.29,2.57,2.21,,level,,2.21
409,2017-11-30,2.3,2.58,2.25,,level,,2.25
