Date,USD
11/1/2022,4.1928
10/1/2022,4.2013
7/1/2022,4.2025
6/1/2022,4.202
5/1/2022,4.1905
4/1/2022,4.1815
3/1/2022,4.171
31/12/2021,4.176
30/12/2021,4.1705
29/12/2021,4.1815
28/12/2021,4.1835
27/12/2021,4.1865
24/12/2021,4.201
23/12/2021,4.206
22/12/2021,4.21
21/12/2021,4.2115
20/12/2021,4.226
17/12/2021,4.2105
16/12/2021,4.231
15/12/2021,4.233
14/12/2021,4.2335
13/12/2021,4.2085
10/12/2021,4.2175
9/12/2021,4.211
8/12/2021,4.2195
7/12/2021,4.2315
6/12/2021,4.224
3/12/2021,4.2285
2/12/2021,4.2265
1/12/2021,4.205
30/11/2021,4.2265
29/11/2021,4.2395
26/11/2021,4.2425
25/11/2021,4.2275
24/11/2021,4.21
23/11/2021,4.1905
22/11/2021,4.188
19/11/2021,4.183
18/11/2021,4.1798
17/11/2021,4.1795
16/11/2021,4.161
15/11/2021,4.1585
12/11/2021,4.1678
11/11/2021,4.1625
10/11/2021,4.1513
9/11/2021,4.152
8/11/2021,4.1555
5/11/2021,4.1595
3/11/2021,4.1535
2/11/2021,4.149
1/11/2021,4.1465
29/10/2021,4.144
28/10/2021,4.153
27/10/2021,4.149
26/10/2021,4.147
25/10/2021,4.1495
22/10/2021,4.158
21/10/2021,4.1565
20/10/2021,4.1555
18/10/2021,4.164
15/10/2021,4.158
14/10/2021,4.1563
13/10/2021,4.1585
12/10/2021,4.172
11/10/2021,4.168
8/10/2021,4.182
7/10/2021,4.1815
6/10/2021,4.1795
5/10/2021,4.18
4/10/2021,4.172
1/10/2021,4.1845
30/09/2021,4.188
29/09/2021,4.185
28/09/2021,4.183
27/09/2021,4.185
24/09/2021,4.181
23/09/2021,4.1865
22/09/2021,4.1885
21/09/2021,4.1895
20/09/2021,4.189
17/09/2021,4.17
15/09/2021,4.1595
14/09/2021,4.149
13/09/2021,4.143
10/9/2021,4.1415
9/9/2021,4.148
8/9/2021,4.1568
7/9/2021,4.1465
6/9/2021,4.145
3/9/2021,4.153
2/9/2021,4.1575
1/9/2021,4.145
30/08/2021,4.169
27/08/2021,4.194
26/08/2021,4.1915
25/08/2021,4.215
24/08/2021,4.218
23/08/2021,4.2295
20/08/2021,4.238
19/08/2021,4.24
18/08/2021,4.232
17/08/2021,4.2385
16/08/2021,4.2415
13/08/2021,4.2355
12/8/2021,4.2355
11/8/2021,4.2385
9/8/2021,4.224
6/8/2021,4.219
5/8/2021,4.221
4/8/2021,4.227
3/8/2021,4.2253
2/8/2021,4.2255
30/07/2021,4.2305
29/07/2021,4.2225
28/07/2021,4.2313
27/07/2021,4.229
26/07/2021,4.2253
23/07/2021,4.2235
22/07/2021,4.2265
21/07/2021,4.2425
19/07/2021,4.218
16/07/2021,4.2005
15/07/2021,4.1955
14/07/2021,4.1995
13/07/2021,4.1895
12/7/2021,4.19
9/7/2021,4.1865
8/7/2021,4.1715
7/7/2021,4.1595
6/7/2021,4.1535
5/7/2021,4.155
2/7/2021,4.1635
1/7/2021,4.1545
